hi,HI!
welcome_to_the_tradfri_lightin,Welcome to the TRÅDFRI lighting system. It’s the easiest way to create beautiful light that supports your life at home. Ready to begin setting it up?
i_agree_to_the,I agree to the
and,and
terms_conditions,Terms & Conditions
privacy_policy,Privacy policy
lets_get_started,LET'S GET STARTED
please_agree_to_continue,Please agree to continue.
terms_and_conditions,Terms and conditions
send_in_email,SEND IN EMAIL
set_up_mail_account,Please set up a mail account in your device to proceed.
unable_to_load_the_url,Unable to load the url.
tradfri_terms_and_conditions,TRÅDFRI Terms and Conditions
tradfri_privacy_policy,TRÅDFRI Privacy Policy
connecting_to_your_gateway,Connecting to your gateway…
plug_in_your_gateway,Plug in your gateway
plug_your_gateway_into_a_power,Plug your gateway into a power outlet and connect it to your WiFi router with the provided ethernet cable.
finding_your_gateway,Finding your gateway...
type_in_the_serial_number,Type in the serial number
youll_find_it_on_the_back_of_y,You’ll find it on the back of your gateway.
youll_find_them_both_on_the_ba,You’ll find them both on the back of your gateway.
type_in_the_security_code,Type in the security code
this_serial_number_is_incorrec,This serial number is incorrect
the_security_key_should_be_dig,The security key should be 16 digits
type_in_the_serial_number_and_,Type in the serial number and the security code
next,Next
connect,Connect
enable_camera,Enable camera
enable_your_camera_to_scan_the,Enable your camera to scan the code.
now_scan_the_code,Now scan the code
youll_find_the_code_on_the_bac,You’ll find the code on the back of the gateway.
scan,Scan
type_in_the_code_instead,Type in the code instead
type_in_the_code,Type in the code
scanning,Scanning...
hold_on_while_we_verify_the_co,Hold on while we verify the code...
we_found_the_code,We found the code.
serial_number,Serial number
security_code,Security code
enter_the_gateway_ip,Enter the gateway IP
if_the_gateway_is_plugged_in_c,"If the gateway is plugged in correctly and still can't be found, you may need to enter the gateway IP address manually. Check the support page for more information."
gateway_ip,Gateway IP
the_gateway_ip_is_incorrect,The gateway IP is incorrect.
congrats,Congrats!
youre_now_connected_to_the_gat,You're now connected to the gateway. Now let's connect your devices.
these_are_your_tradfri_devices,These are your TRÅDFRI devices
add_another_device,Add another device
finding_your_devices,Finding your devices...
get_started,GET STARTED
open_the_back_of_the_remote_co,Open the back of the remote control
open_the_back_of_the_motion_se,Open the back of the motion sensor
control_plug,Control Plug
control_plugs,Control Plugs
start_by_choosing_the_device_y,Start by choosing the device you want to add
reset_the_remote_control,Reset the remote control
connect_the_remote_control,Connect the Remote control
remote_control,Remote control
reset_the_motion_sensor,Reset the motion sensor
conect_the_motion_sensor,Connect the motion sensor
motion_sensor,Motion Sensor
open_the_back_of_the_wireless_,Open the back of the wireless dimmer
reset_the_wireless_dimmer,Reset the wireless dimmer
conect_the_wireless_dimmer,Connect the wireless dimmer
now_add_your_lights,Now add your lights
they_can_be_added_after_youve_,They can be added after you've connected a control device.
bulb,Bulb
door_or_panel,Door or panel
ill_do_this_later,I'll do this later
finding_your_device,Finding your device
turn_on_your_light,Turn on your light
which_control_device_are_you_u,Which control device are you using?
connect_the_light,Connect the light
add_lights_to_your_remote_cont,Add lights to your remote control or sensor
doors_and_panels_,Doors and panels
door,Door
panel,Panel
make_sure_that_your_light_is_i,Make sure that your light is installed and the main power switch is turned on.
wireless_dimmer,Wireless dimmer
which_device_would_you_like_to,Which device would you like to add?
tap_here,tap here
a,a.
b,b.
c,c.
remember_to_use_a_control_devi,Remember to use a control device that is already connected.
set_your_lights_to_turn_on_or_off_exactly_when_you_want_them,Set your lights to turn on or off exactly when you want them to.
bulbs,Bulbs
accessory_found,%@ found
perfect_your_was_connected_to_,Perfect! Your %@ was connected to TRÅDFRI.
perfect_now_your_is_connected_,Perfect! Now your %@ is connected to TRÅDFRI.
press_any_button_on_your_remot,Press any button on your Remote control.
gently_rotate_your_wireless_di,Gently rotate your Wireless dimmer.
wave_your_hand_in_front_of_the,Wave your hand in front of the Motion sensor.
your_was_moved_to_,Your %@ was moved to %@.
last_seen_ago,Last seen %@ ago
days,%.0f days
hours,%.0f hours
minutes,%.0f minutes
seconds,%.0f seconds
low_battery,Low battery
device_cannot_be_found,One device cannot be found
devices_cannot_be_found,%d devices cannot be found
motion_sensors_have_low_batter,motion sensors have low batteries
motion_sensor_has_a_low_batter,motion sensor has a low battery
remotes_have_low_batteries,%d remotes have low batteries
remote_has_a_low_battery,remote has a low battery
one_remote_has_a_low_battery,One remote has a low battery
one_motion_sensor_has_a_low_ba,One motion sensor has a low battery
devices_have_low_batteries,%d devices have low batteries
unreachable,Unreachable
my_home,My Home
off,Off
no_lights_have_been_added_to_t,No lights have been added to this group yet.
add_lights,Add lights
max,Max
min,Min
timers,Timers
rise_and_shine,Rise and Shine
every_day,Every day
away_from_home,Away from Home
on_and_off,ON and OFF
set_your_time,Set your time
mon,Mon
tue,Tue
wed,Wed
thu,Thu
fri,Fri
sat,Sat
sun,Sun
at,At
same_as_timer,Same as timer
min_after_timer,%d min. after timer
the_start_time_of_your_timer_n,The start time of your Timer needs to be before the end.
once,Once
new_timer,New Timer
your_timer_just_started,Your %@ timer just started.
some_of_your_timers_were_updat,Some of your timers were updated from another device.
a_timer_has_been_updated,A timer has been updated
timers_have_been_updated,Your timers have been updated
you_are_now_using_the_maximum_,You are now using the maximum number of timers.
timers_help_you_set_your_light,Timers help you set your lighting to turn on and off. Add one to get started!
set_your_lights_to_wake_you_up,Set your lights to wake you up.
out_and_about_set_your_lights_to_turn_on_and_off_as_if_you_were_home,Out and about? Set your lights to turn on and off as if you were home.
